30,30,30,30,30
33,33,33,33,33
30,30,30,30,30
3,3,3,3,3
29,29,29,29,30
0:00:00,0:00:00,0:00:00,0:00:00,0:00:00
3,2,2,2,3
30,30,30,30,30
36,36,36,36,36
30,30,30,30,30
6,6,6,6,6
29,30,31,29,29
0:00:00,0:00:00,0:00:00,0:00:00,0:00:00
3,5,4,3,4
30,30,30,30,30
39,39,39,39,39
30,30,30,30,30
9,9,9,9,9
32,30,30,30,30
0:00:00,0:00:00,0:00:00,0:00:00,0:00:00
6,3,5,6,4
30,30,30,30,30
42,42,42,42,42
30,30,30,30,30
12,12,12,12,12
30,40,29,29,31
0:00:00,0:00:00,0:00:00,0:00:00,0:00:00
5,9,8,4,4
30,30,30,30,30
45,45,45,45,45
30,30,30,30,30
15,15,15,15,15
41,40,33,44,46
0:00:00,0:00:00,0:00:00,0:00:00,0:00:01
13,12,12,7,14
30,30,30,30,30
48,48,48,48,48
30,30,30,30,30
18,18,18,18,18
38,165,93,33,38
0:00:00,0:00:02,0:00:02,0:00:00,0:00:00
13,14,17,10,7
30,30,30,30,30
51,51,51,51,51
30,30,30,30,30
21,21,21,21,21
40,91,46,169,81
0:00:00,0:00:02,0:00:01,0:00:04,0:00:01
12,15,16,21,14
30,30,30,30,30
54,54,54,54,54
30,30,30,30,30
24,24,24,24,24
92,1236,521,61,220
0:00:02,0:00:40,0:00:12,0:00:01,0:00:06
17,25,20,24,24
30,30,30,30,30
57,57,57,57,57
30,30,30,30,30
27,27,27,27,27
62,360,285,723,1332
0:00:01,0:00:12,0:00:09,0:00:21,0:01:03
15,25,24,23,28
30,30,30,30,30
60,60,60,60,60
30,30,30,30,30
30,30,30,30,30
78,470,617,1081,964
0:00:01,0:00:14,0:00:15,0:00:38,0:00:39
22,26,21,28,25
