50,50,50,50,50
55,55,55,55,55
50,50,50,50,50
5,5,5,5,5
49,49,49,50,49
0:00:01,0:00:01,0:00:01,0:00:01,0:00:01
4,2,3,3,2
50,50,50,50,50
60,60,60,60,60
50,50,50,50,50
10,10,10,10,10
50,50,50,50,49
0:00:01,0:00:01,0:00:01,0:00:01,0:00:01
3,5,4,4,5
50,50,50,50,50
65,65,65,65,65
50,50,50,50,50
15,15,15,15,15
49,76,50,54,51
0:00:01,0:00:02,0:00:01,0:00:01,0:00:01
8,7,6,6,5
50,50,50,50,50
70,70,70,70,70
50,50,50,50,50
20,20,20,20,20
60,62,91,50,55
0:00:02,0:00:02,0:00:03,0:00:01,0:00:01
13,6,17,7,7
50,50,50,50,50
75,75,75,75,75
50,50,50,50,50
25,25,25,25,25
59,84,52,61,56
0:00:02,0:00:02,0:00:02,0:00:01,0:00:02
9,10,7,8,11
50,50,50,50,50
80,80,80,80,80
50,50,50,50,50
30,30,30,30,30
62,170,56,114,78
0:00:02,0:00:05,0:00:02,0:00:05,0:00:02
21,21,18,16,10
50,50,50,50,50
85,85,85,85,85
50,50,50,50,50
35,35,35,35,35
1571,110,1155,502,83
0:01:38,0:00:04,0:01:23,0:00:32,0:00:03
29,17,29,30,17
50,50,50,50,50
90,90,90,90,90
50,50,50,50,50
40,40,40,40,40
167,541,779,3009,1660
0:00:09,0:00:37,0:00:43,0:04:02,0:02:49
27,35,24,37,41
50,50,50,50,50
95,95,95,95,95
50,50,50,50,50
45,45,45,45,45
2739,7121,1189,13886,4539
0:03:38,0:08:07,0:01:28,0:20:26,0:08:09
38,39,38,41,41
50,50,50,50,50
100,100,100,100,100
50,50,50,50,50
50,50,50,50,50
47603,42908,71944,58826,2496
1:06:22,1:01:27,1:59:19,1:38:52,0:04:30
40,43,44,46,41
