50,50,50,50,50
110,110,110,110,110
100,100,100,100,100
10,10,10,10,10
49,49,49,49,50
0:00:02,0:00:01,0:00:01,0:00:01,0:00:01
3,3,3,4,4
50,50,50,50,50
120,120,120,120,120
100,100,100,100,100
20,20,20,20,20
49,50,51,52,51
0:00:02,0:00:01,0:00:01,0:00:01,0:00:01
8,6,11,6,8
50,50,50,50,50
130,130,130,130,130
100,100,100,100,100
30,30,30,30,30
57,63,60,57,60
0:00:03,0:00:01,0:00:02,0:00:01,0:00:02
19,12,20,16,22
50,50,50,50,50
140,140,140,140,140
100,100,100,100,100
40,40,40,40,40
176,180,199,134,235
0:00:20,0:00:09,0:00:11,0:00:05,0:00:15
38,28,38,29,38
50,50,50,50,50
150,150,150,150,150
100,100,100,100,100
50,50,50,50,50
2867,646,439,190,1437
0:05:44,0:01:00,0:00:33,0:00:09,0:01:59
41,42,45,37,36
50,50,50,50,50
160,160,160,160,160
100,100,100,100,100
60,60,60,60,60
477,4092,381,1023,858
0:00:47,0:06:01,0:00:32,0:01:09,0:01:18
45,44,44,40,46
50,50,50,50,50
170,170,170,170,170
100,100,100,100,100
70,70,70,70,70
6219,7406,1851,605,2442
0:16:08,0:11:30,0:02:58,0:00:43,0:04:09
49,47,44,49,47
50,50,50,50,50
180,180,180,180,180
100,100,100,100,100
80,80,80,80,80
18201,1538,4601,2805,4387
0:38:35,0:01:54,0:08:00,0:04:49,0:04:26
48,49,48,49,44
50,50,50,50,50
190,190,190,190,190
100,100,100,100,100
90,90,90,90,90
9097,1667,1060,40356,424
0:16:58,0:05:05,0:02:09,3:01:27,0:00:32
49,48,50,50,49
50,50,50,50,50
200,200,200,200,200
100,100,100,100,100
100,100,100,100,100
4032,11899,2482,1261,9250
0:03:31,0:16:35,0:03:12,0:03:12,0:32:19
49,48,50,49,50
