1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69
0:00:03,0:00:03,0:00:03,0:00:03,0:00:03,0:00:03,0:00:04,0:00:03,0:00:03,0:00:03,0:00:04,0:00:04,0:00:04,0:00:03,0:00:03,0:00:03,0:00:03,0:00:04,0:00:03,0:00:03,0:00:04,0:00:04,0:00:04,0:00:03,0:00:04,0:00:03,0:00:03,0:00:03,0:00:03,0:00:03
4,3,4,3,5,5,8,7,6,5,7,8,4,5,3,6,4,6,3,7,2,8,5,2,3,4,10,6,12,6
66,67,76,65,67,65,83,95,67,93,66,80,66,81,69,71,64,71,66,79,62,81,74,64,64,63,96,86,186,67
0:00:03,0:00:03,0:00:03,0:00:03,0:00:03,0:00:03,0:00:04,0:00:06,0:00:03,0:00:05,0:00:03,0:00:04,0:00:03,0:00:04,0:00:03,0:00:03,0:00:03,0:00:03,0:00:03,0:00:04,0:00:03,0:00:04,0:00:03,0:00:03,0:00:03,0:00:03,0:00:04,0:00:03,0:00:13,0:00:03
13,3,12,14,20,7,6,14,13,8,12,11,8,4,6,12,15,10,17,16,16,6,9,11,16,11,14,13,14,12
114,56,173,182,333,70,69,209,95,79,123,77,73,69,62,115,115,113,241,170,213,65,63,101,212,108,139,119,89,103
0:00:04,0:00:02,0:00:09,0:00:12,0:00:23,0:00:03,0:00:02,0:00:09,0:00:05,0:00:03,0:00:08,0:00:04,0:00:03,0:00:03,0:00:02,0:00:08,0:00:07,0:00:05,0:00:19,0:00:12,0:00:17,0:00:02,0:00:02,0:00:05,0:00:16,0:00:06,0:00:09,0:00:07,0:00:05,0:00:06
23,20,25,8,14,9,23,17,19,11,13,14,10,11,12,21,13,5,23,16,11,10,19,19,16,13,22,16,22,12
1205,142,2431,78,81,81,414,208,246,67,73,166,62,115,140,325,58,54,528,136,134,72,138,418,111,81,568,209,801,121
0:01:14,0:00:07,0:03:19,0:00:03,0:00:03,0:00:03,0:00:29,0:00:09,0:00:13,0:00:02,0:00:03,0:00:09,0:00:02,0:00:05,0:00:05,0:00:21,0:00:02,0:00:02,0:00:48,0:00:09,0:00:05,0:00:03,0:00:08,0:00:34,0:00:06,0:00:04,0:00:46,0:00:10,0:01:20,0:00:07
21,20,18,22,11,19,19,22,17,20,21,23,20,24,26,23,26,24,27,26,14,22,17,26,19,31,18,22,21,21
472,1667,203,263,61,788,113,806,66,454,261,1056,121,104,733,154,248,391,820,587,75,1068,650,385,221,2001,131,298,405,367
0:00:27,0:01:43,0:00:10,0:00:14,0:00:02,0:00:36,0:00:06,0:00:26,0:00:02,0:00:23,0:00:20,0:01:32,0:00:07,0:00:04,0:00:54,0:00:08,0:00:18,0:00:28,0:01:12,0:01:00,0:00:02,0:01:15,0:00:38,0:00:25,0:00:14,0:03:16,0:00:05,0:00:18,0:00:32,0:00:22
13,20,25,21,19,15,20,21,23,20,20,20,20,19,28,24,17,24,23,24,19,23,23,18,21,18,25,21,19,27
118,233,188,106,340,137,237,2605,496,276,193,218,180,193,2916,784,497,86,530,634,519,413,202,63,548,154,740,442,394,2256
0:00:04,0:00:07,0:00:09,0:00:04,0:00:10,0:00:05,0:00:11,0:02:36,0:00:22,0:00:09,0:00:10,0:00:12,0:00:09,0:00:08,0:04:22,0:00:42,0:00:30,0:00:04,0:00:34,0:00:34,0:00:17,0:00:24,0:00:10,0:00:01,0:00:31,0:00:07,0:00:36,0:00:31,0:00:27,0:04:31
20,18,23,18,21,22,14,20,17,16,21,18,19,18,18,21,15,16,18,22,16,19,12,15,18,19,18,16,19,23
756,60,86,321,185,574,51,234,206,242,893,350,289,139,182,371,276,560,176,188,270,394,173,65,117,274,241,177,397,135
0:00:24,0:00:01,0:00:05,0:00:10,0:00:14,0:00:15,0:00:01,0:00:07,0:00:05,0:00:08,0:00:47,0:00:15,0:00:26,0:00:05,0:00:06,0:00:17,0:00:09,0:00:24,0:00:24,0:00:08,0:00:10,0:00:15,0:00:06,0:00:02,0:00:03,0:00:09,0:00:09,0:00:05,0:00:18,0:00:08
18,15,14,14,15,17,15,16,15,16,15,15,15,13,15,16,13,14,16,14,16,12,17,15,14,14,16,19,16,18
891,49,26,52,85,256,31,152,135,140,112,42,15,17,126,86,196,45,140,124,313,146,92,102,98,136,37,112,125,389
0:00:57,0:00:00,0:00:02,0:00:01,0:00:01,0:00:04,0:00:01,0:00:03,0:00:03,0:00:02,0:00:06,0:00:01,0:00:01,0:00:00,0:00:05,0:00:02,0:00:05,0:00:02,0:00:03,0:00:02,0:00:20,0:00:03,0:00:03,0:00:03,0:00:13,0:00:02,0:00:01,0:00:05,0:00:04,0:00:25
13,11,9,11,12,14,8,13,11,12,13,10,12,11,9,9,10,13,9,10,12,10,12,9,10,11,10,12,11,11
26,29,50,10,78,1,36,13,8,72,114,52,5,14,16,8,29,7,25,26,7,23,71,8,19,25,6,1,7,80
0:00:00,0:00:00,0:00:00,0:00:00,0:00:01,0:00:01,0:00:00,0:00:00,0:00:00,0:00:01,0:00:02,0:00:01,0:00:00,0:00:01,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:01,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:02
5,4,6,4,7,7,6,6,6,6,7,5,4,7,6,5,6,4,5,5,3,5,5,7,7,5,5,6,6,6
3,2,2,2,6,1,3,1,10,3,5,1,7,1,1,2,1,9,2,7,5,2,2,3,1,2,6,0,1,7
0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00
