1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79
0:00:05,0:00:05,0:00:05,0:00:04,0:00:04,0:00:04,0:00:04,0:00:05,0:00:05,0:00:05,0:00:05,0:00:04,0:00:04,0:00:04,0:00:04,0:00:04,0:00:04,0:00:04,0:00:04,0:00:04,0:00:05,0:00:04,0:00:04,0:00:05,0:00:04,0:00:04,0:00:04,0:00:04,0:00:04,0:00:04
7,6,3,3,5,2,7,5,3,4,3,6,3,3,3,4,5,6,3,5,6,3,3,3,10,6,5,3,4,3
87,85,75,79,77,73,79,87,74,78,74,79,72,76,72,87,77,81,77,87,99,76,76,71,207,91,85,78,78,73
0:00:05,0:00:05,0:00:05,0:00:04,0:00:04,0:00:04,0:00:04,0:00:04,0:00:04,0:00:04,0:00:03,0:00:03,0:00:03,0:00:03,0:00:03,0:00:05,0:00:04,0:00:04,0:00:04,0:00:04,0:00:05,0:00:04,0:00:04,0:00:03,0:00:14,0:00:05,0:00:04,0:00:04,0:00:04,0:00:03
11,4,4,4,5,8,12,3,7,3,11,5,11,8,4,3,3,14,5,2,5,7,7,11,2,7,9,6,15,6
233,67,73,72,82,77,133,70,84,64,109,95,135,105,71,66,66,192,86,65,72,90,122,160,64,107,90,81,387,111
0:00:14,0:00:03,0:00:03,0:00:03,0:00:03,0:00:03,0:00:06,0:00:03,0:00:03,0:00:02,0:00:05,0:00:03,0:00:09,0:00:04,0:00:02,0:00:03,0:00:03,0:00:15,0:00:04,0:00:02,0:00:03,0:00:04,0:00:07,0:00:10,0:00:03,0:00:05,0:00:04,0:00:03,0:00:31,0:00:04
12,13,5,8,5,19,9,9,8,18,14,7,15,9,17,11,3,11,15,3,19,11,10,10,8,18,8,8,17,13
124,207,78,101,63,5040,94,93,83,361,233,107,302,130,384,140,64,103,264,64,917,73,118,69,97,631,99,94,2755,402
0:00:05,0:00:10,0:00:02,0:00:04,0:00:02,0:06:07,0:00:04,0:00:03,0:00:03,0:00:24,0:00:16,0:00:04,0:00:24,0:00:05,0:00:22,0:00:08,0:00:02,0:00:04,0:00:19,0:00:02,0:01:03,0:00:03,0:00:05,0:00:02,0:00:04,0:00:53,0:00:04,0:00:04,0:04:28,0:00:25
7,18,6,21,13,13,17,11,11,9,9,17,9,8,22,15,13,20,21,6,19,10,8,12,9,6,19,13,5,23
69,226,54,486,137,239,222,434,60,101,120,451,100,83,125,1419,182,3316,1307,71,300,167,88,144,147,66,1816,120,54,21443
0:00:02,0:00:11,0:00:01,0:00:26,0:00:04,0:00:07,0:00:09,0:00:14,0:00:02,0:00:03,0:00:05,0:00:27,0:00:04,0:00:03,0:00:05,0:01:21,0:00:09,0:04:16,0:01:36,0:00:02,0:00:21,0:00:07,0:00:02,0:00:06,0:00:05,0:00:02,0:02:26,0:00:05,0:00:01,0:31:09
12,17,20,20,15,12,18,15,17,9,20,20,20,21,9,11,16,20,8,17,19,20,12,14,17,13,12,20,19,20
