48,48,48,48,48,48,48,48,48,48
84,84,84,84,84,84,84,84,84,84
84,84,84,84,84,84,84,84,84,84
0,0,0,0,0,0,0,0,0,0
47,47,47,47,47,47,47,47,47,47
0:00:01,0:00:01,0:00:01,0:00:01,0:00:01,0:00:01,0:00:01,0:00:01,0:00:01,0:00:01
1,1,1,1,1,1,1,1,1,1
44,44,44,44,44,44,44,44,44,44
81,86,82,90,104,80,97,92,73,84
80,75,80,83,86,78,87,85,70,82
1,11,2,7,18,2,10,7,3,2
44,70,45,48,101,45,69,47,47,45
0:00:01,0:00:01,0:00:01,0:00:01,0:00:04,0:00:01,0:00:02,0:00:01,0:00:01,0:00:01
2,5,2,4,8,2,5,4,3,2
39,39,39,39,39,39,39,39,39,39
108,82,96,81,76,87,98,94,81,74
83,72,82,65,72,75,75,74,70,71
25,10,14,16,4,12,23,20,11,3
99,41,42,126,42,47,94,90,45,40
0:00:04,0:00:01,0:00:01,0:00:02,0:00:01,0:00:01,0:00:02,0:00:02,0:00:01,0:00:01
7,4,5,7,3,4,5,5,4,2
34,34,34,34,34,34,34,34,34,34
70,92,106,71,105,73,109,117,109,96
61,72,79,63,72,64,71,59,83,75
9,20,27,8,33,9,38,58,26,21
43,48,80,36,122,39,71,83,54,90
0:00:01,0:00:01,0:00:01,0:00:00,0:00:04,0:00:01,0:00:02,0:00:02,0:00:01,0:00:03
4,6,6,5,9,3,10,11,8,7
29,29,29,29,29,29,29,29,29,29
100,89,97,73,108,162,65,86,96,95
70,73,58,55,65,71,54,69,65,60
30,16,39,18,43,91,11,17,31,35
72,46,78,37,94,125,34,41,52,65
0:00:02,0:00:01,0:00:02,0:00:00,0:00:02,0:00:04,0:00:00,0:00:00,0:00:01,0:00:02
9,5,9,6,8,14,5,5,10,11
24,24,24,24,24,24,24,24,24,24
88,93,62,89,63,95,79,171,87,75
44,58,44,58,39,59,50,90,52,54
44,35,18,31,24,36,29,81,35,21
231,103,43,72,57,62,40,151,72,76
0:00:03,0:00:02,0:00:00,0:00:01,0:00:01,0:00:01,0:00:00,0:00:05,0:00:01,0:00:01
17,7,6,9,7,12,10,14,12,6
20,20,20,20,20,20,20,20,20,20
83,131,72,62,77,54,67,78,66,75
59,63,35,38,47,39,48,63,35,47
24,68,37,24,30,15,19,15,31,28
32,102,52,31,89,27,31,23,49,29
0:00:01,0:00:02,0:00:01,0:00:00,0:00:01,0:00:00,0:00:00,0:00:00,0:00:01,0:00:00
9,13,11,9,8,5,7,6,8,9
15,15,15,15,15,15,15,15,15,15
42,47,40,65,72,44,63,75,31,84
33,33,25,25,27,26,31,49,22,36
9,14,15,40,45,18,32,26,9,48
20,15,17,43,28,31,24,9,19,27
0:00:00,0:00:00,0:00:00,0:00:01,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00
4,7,5,10,11,7,12,8,6,12
10,10,10,10,10,10,10,10,10,10
23,29,29,11,22,37,22,29,23,32
17,11,13,8,15,18,14,22,18,22
6,18,16,3,7,19,8,7,5,10
11,24,15,9,8,6,11,7,7,8
0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00
4,8,5,3,5,7,6,4,4,7
5,5,5,5,5,5,5,5,5,5
8,12,4,12,14,8,7,9,12,8
4,6,3,7,8,5,5,6,5,4
4,6,1,5,6,3,2,3,7,4
4,0,3,1,2,3,3,3,2,4
0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00
4,4,2,4,4,3,3,3,5,4
