40,40,40,40,40
78,78,78,78,78
78,78,78,78,78
0,0,0,0,0
39,39,39,39,39
0:00:01,0:00:01,0:00:01,0:00:01,0:00:01
1,1,1,1,1
40,40,40,40,40
156,156,156,156,156
78,78,78,78,78
78,78,78,78,78
895,405,2081,572,131
0:03:26,0:01:59,0:01:36,0:00:44,0:00:05
40,39,40,40,39
40,40,40,40,40
234,234,234,234,234
78,78,78,78,78
156,156,156,156,156
2028,658,3607,136,1058
0:02:29,0:01:00,0:02:49,0:01:08,0:23:06
40,40,40,40,40
40,40,40,40,40
312,312,312,312,312
78,78,78,78,78
234,234,234,234,234
2892,62,881,10,34
0:34:25,0:00:23,0:27:04,0:00:12,0:00:27
40,40,40,40,40
40,40,40,40,40
390,390,390,390,390
78,78,78,78,78
312,312,312,312,312
19,717,69,13,98
0:00:29,0:20:44,0:00:25,0:00:21,0:06:21
40,40,40,40,40
40,40,40,40,40
468,468,468,468,468
78,78,78,78,78
390,390,390,390,390
48,433,56,85,15
0:02:03,0:00:41,0:00:30,0:02:09,0:00:27
40,40,40,40,40
40,40,40,40,40
546,546,546,546,546
78,78,78,78,78
468,468,468,468,468
152,21,20,12,7
0:01:12,0:00:36,0:00:31,0:03:17,0:00:13
40,40,40,40,40
40,40,40,40,40
624,624,624,624,624
78,78,78,78,78
546,546,546,546,546
11,16,5,67,37
0:02:28,0:00:37,0:00:58,0:01:09,0:00:49
40,40,40,40,40
40,40,40,40,40
702,702,702,702,702
78,78,78,78,78
624,624,624,624,624
1,4,5,3,5
0:02:25,0:00:54,0:01:14,0:00:50,0:00:57
40,40,40,40,40
30,30,30,30,30
434,434,434,434,434
43,43,43,43,43
391,391,391,391,391
6,0,1,4,5
0:01:01,0:00:20,0:00:19,0:01:24,0:01:32
30,30,30,30,30
