1,1,1,1,1,1,1,1,1,1
79,79,79,79,79,79,79,79,79,79
0:00:05,0:00:05,0:00:05,0:00:04,0:00:04,0:00:04,0:00:04,0:00:05,0:00:05,0:00:05
7,6,3,3,5,2,7,5,3,4
87,85,75,79,77,73,79,87,74,78
0:00:05,0:00:05,0:00:05,0:00:04,0:00:04,0:00:04,0:00:04,0:00:04,0:00:04,0:00:04
11,4,4,4,5,8,12,3,7,3
233,67,73,72,82,77,133,70,84,64
0:00:14,0:00:03,0:00:03,0:00:03,0:00:03,0:00:03,0:00:06,0:00:03,0:00:03,0:00:02
12,13,5,8,5,19,9,9,8,18
124,207,78,101,63,5040,94,93,83,361
0:00:05,0:00:10,0:00:02,0:00:04,0:00:02,0:06:07,0:00:04,0:00:03,0:00:03,0:00:24
7,18,6,21,13,13,17,11,11,9
69,226,54,486,137,239,222,434,60,101
0:00:02,0:00:11,0:00:01,0:00:26,0:00:04,0:00:07,0:00:09,0:00:14,0:00:02,0:00:03
12,17,20,20,15,12,18,15,17,9
66,414,150,1778,187,233,200,224,296,60
0:00:01,0:00:20,0:00:05,0:01:05,0:00:07,0:00:04,0:00:08,0:00:06,0:00:11,0:00:01
16,16,20,19,21,21,11,15,17,16
1731,156,995,488,1267,3752,226,291,2013,344
0:00:53,0:00:04,0:00:27,0:00:16,0:01:03,0:03:03,0:00:05,0:00:07,0:00:56,0:00:08
8,14,15,15,14,9,14,21,17,16
61,208,165,1741,1180,44,155,1977,185,245
0:00:01,0:00:02,0:00:03,0:00:36,0:00:25,0:00:00,0:00:03,0:01:16,0:00:05,0:00:06
9,9,11,10,9,11,12,14,13,11
78,13,124,95,87,75,132,20,109,453
0:00:01,0:00:00,0:00:01,0:00:01,0:00:01,0:00:01,0:00:02,0:00:01,0:00:01,0:00:04
5,6,5,5,5,5,6,6,7,6
3,12,9,15,29,3,7,7,7,11
0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00
