1,1,1,1,1,1,1,1,1,1
69,69,69,69,69,69,69,69,69,69
0:00:03,0:00:03,0:00:03,0:00:03,0:00:03,0:00:03,0:00:04,0:00:03,0:00:03,0:00:03
4,3,4,3,5,5,8,7,6,5
66,67,76,65,67,65,83,95,67,93
0:00:03,0:00:03,0:00:03,0:00:03,0:00:03,0:00:03,0:00:04,0:00:06,0:00:03,0:00:05
13,3,12,14,20,7,6,14,13,8
114,56,173,182,333,70,69,209,95,79
0:00:04,0:00:02,0:00:09,0:00:12,0:00:23,0:00:03,0:00:02,0:00:09,0:00:05,0:00:03
23,20,25,8,14,9,23,17,19,11
1205,142,2431,78,81,81,414,208,246,67
0:01:14,0:00:07,0:03:19,0:00:03,0:00:03,0:00:03,0:00:29,0:00:09,0:00:13,0:00:02
21,20,18,22,11,19,19,22,17,20
472,1667,203,263,61,788,113,806,66,454
0:00:27,0:01:43,0:00:10,0:00:14,0:00:02,0:00:36,0:00:06,0:00:26,0:00:02,0:00:23
13,20,25,21,19,15,20,21,23,20
118,233,188,106,340,137,237,2605,496,276
0:00:04,0:00:07,0:00:09,0:00:04,0:00:10,0:00:05,0:00:11,0:02:36,0:00:22,0:00:09
20,18,23,18,21,22,14,20,17,16
756,60,86,321,185,574,51,234,206,242
0:00:24,0:00:01,0:00:05,0:00:10,0:00:14,0:00:15,0:00:01,0:00:07,0:00:05,0:00:08
18,15,14,14,15,17,15,16,15,16
891,49,26,52,85,256,31,152,135,140
0:00:57,0:00:00,0:00:02,0:00:01,0:00:01,0:00:04,0:00:01,0:00:03,0:00:03,0:00:02
13,11,9,11,12,14,8,13,11,12
26,29,50,10,78,1,36,13,8,72
0:00:00,0:00:00,0:00:00,0:00:00,0:00:01,0:00:01,0:00:00,0:00:00,0:00:00,0:00:01
5,4,6,4,7,7,6,6,6,6
3,2,2,2,6,1,3,1,10,3
0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00
