1,1,1,1,1,1,1,1,1,1
69,69,69,69,69,69,69,69,69,69
0:00:03,0:00:03,0:00:03,0:00:03,0:00:03,0:00:03,0:00:03,0:00:03,0:00:03,0:00:03
3,8,5,2,4,5,6,2,3,4
64,87,79,63,65,73,122,63,64,64
0:00:02,0:00:04,0:00:03,0:00:02,0:00:03,0:00:03,0:00:06,0:00:02,0:00:02,0:00:02
3,2,10,9,7,10,4,4,5,12
59,57,82,88,85,128,77,65,66,138
0:00:02,0:00:02,0:00:03,0:00:03,0:00:03,0:00:04,0:00:03,0:00:02,0:00:02,0:00:06
4,5,7,8,15,8,7,19,8,5
56,69,74,69,311,78,79,1750,77,62
0:00:01,0:00:02,0:00:02,0:00:02,0:00:17,0:00:02,0:00:03,0:01:38,0:00:03,0:00:02
14,16,13,16,15,15,10,6,12,19
105,456,67,669,414,169,95,56,106,1216
0:00:03,0:00:18,0:00:02,0:00:30,0:00:13,0:00:06,0:00:03,0:00:01,0:00:03,0:00:46
19,18,19,14,12,7,10,14,20,16
24163,92,107,132,89,66,344,62,1753,176
0:16:48,0:00:03,0:00:03,0:00:04,0:00:02,0:00:01,0:00:07,0:00:01,0:01:03,0:00:05
15,18,17,16,19,11,14,15,15,17
2407,9769,302,230,1055,236,265,74,582,645
0:01:04,0:04:49,0:00:06,0:00:06,0:00:33,0:00:05,0:00:06,0:00:01,0:00:15,0:00:16
13,9,11,10,11,13,10,14,10,12
27,24,113,88,112,73,344,235,71,59
0:00:00,0:00:00,0:00:02,0:00:01,0:00:01,0:00:01,0:00:06,0:00:03,0:00:01,0:00:01
8,8,10,10,10,11,9,10,5,11
50,26,11,94,17,22,18,122,16,15
0:00:00,0:00:00,0:00:00,0:00:01,0:00:00,0:00:00,0:00:00,0:00:01,0:00:00,0:00:00
4,4,5,5,4,5,6,6,5,4
7,4,4,9,9,3,1,5,1,5
0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00
