1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59
0:00:02,0:00:02,0:00:02,0:00:02,0:00:02,0:00:02,0:00:02,0:00:02,0:00:02,0:00:02,0:00:02,0:00:02,0:00:02,0:00:02,0:00:02,0:00:02,0:00:02,0:00:02,0:00:02,0:00:02,0:00:02,0:00:02,0:00:02,0:00:02,0:00:02,0:00:02,0:00:02,0:00:02,0:00:02,0:00:02
5,3,5,4,5,5,4,4,4,3,2,5,3,3,7,6,2,2,4,4,2,4,6,4,5,7,6,4,7,5
59,55,60,54,63,54,55,68,61,54,53,58,55,58,60,58,54,54,62,61,55,60,59,66,57,60,57,63,69,63
0:00:02,0:00:02,0:00:02,0:00:02,0:00:02,0:00:02,0:00:02,0:00:02,0:00:02,0:00:02,0:00:01,0:00:01,0:00:01,0:00:01,0:00:02,0:00:02,0:00:01,0:00:01,0:00:02,0:00:01,0:00:02,0:00:02,0:00:02,0:00:03,0:00:02,0:00:02,0:00:02,0:00:02,0:00:02,0:00:02
8,10,15,18,9,4,6,12,13,13,12,19,10,11,12,9,11,16,8,17,4,7,13,8,6,6,5,5,9,6
51,67,115,230,74,55,61,196,71,137,67,220,74,104,182,72,61,601,53,215,52,58,133,84,52,62,62,56,91,52
0:00:01,0:00:02,0:00:05,0:00:06,0:00:02,0:00:01,0:00:02,0:00:08,0:00:02,0:00:05,0:00:02,0:00:12,0:00:02,0:00:04,0:00:06,0:00:02,0:00:02,0:00:35,0:00:02,0:00:14,0:00:01,0:00:02,0:00:07,0:00:03,0:00:01,0:00:02,0:00:02,0:00:01,0:00:03,0:00:01
21,15,12,18,20,20,15,12,19,22,17,19,15,17,27,13,18,19,11,9,5,14,22,10,17,3,16,17,16,13
185,110,101,93,225,247,147,51,98,312,199,249,62,112,500,144,176,270,72,54,49,62,506,52,106,44,76,98,170,74
0:00:08,0:00:03,0:00:02,0:00:03,0:00:08,0:00:09,0:00:04,0:00:01,0:00:04,0:00:13,0:00:10,0:00:13,0:00:02,0:00:06,0:00:29,0:00:04,0:00:10,0:00:15,0:00:02,0:00:01,0:00:01,0:00:01,0:00:36,0:00:01,0:00:04,0:00:01,0:00:02,0:00:05,0:00:06,0:00:03
19,18,15,19,16,13,13,16,17,22,16,14,15,22,16,17,23,22,21,16,19,19,19,19,17,17,14,19,13,23
214,72,582,298,45,124,86,212,148,203,81,135,83,1140,156,151,531,669,76,163,359,164,292,451,190,203,153,203,64,251
0:00:05,0:00:02,0:00:19,0:00:09,0:00:01,0:00:04,0:00:02,0:00:08,0:00:04,0:00:09,0:00:02,0:00:05,0:00:03,0:01:09,0:00:06,0:00:05,0:00:28,0:00:32,0:00:03,0:00:06,0:00:26,0:00:07,0:00:16,0:00:26,0:00:08,0:00:08,0:00:06,0:00:08,0:00:02,0:00:09
17,16,18,22,20,15,11,18,19,22,17,19,18,18,21,15,20,14,16,16,18,15,12,17,17,17,15,16,20,23
131,62,235,376,554,53,35,590,165,1564,44,107,536,518,1228,422,87,200,959,146,194,310,41,136,97,213,57,77,331,212
0:00:03,0:00:01,0:00:07,0:00:14,0:00:14,0:00:01,0:00:00,0:00:20,0:00:05,0:01:05,0:00:01,0:00:03,0:00:21,0:00:22,0:00:47,0:00:14,0:00:04,0:00:06,0:00:34,0:00:04,0:00:06,0:00:11,0:00:01,0:00:04,0:00:02,0:00:07,0:00:01,0:00:02,0:00:14,0:00:10
20,18,18,15,17,16,11,15,13,9,18,18,15,15,12,18,17,16,14,16,17,15,20,17,20,19,14,10,15,22
174,100,273,68,86,290,212,194,195,41,69,472,57,250,76,405,285,170,67,17,380,90,126,118,2903,64,309,37,77,2480
0:00:04,0:00:02,0:00:07,0:00:05,0:00:03,0:00:06,0:00:04,0:00:04,0:00:04,0:00:01,0:00:07,0:00:09,0:00:04,0:00:07,0:00:02,0:00:11,0:00:08,0:00:05,0:00:02,0:00:01,0:00:08,0:00:03,0:00:04,0:00:03,0:01:25,0:00:01,0:00:08,0:00:01,0:00:02,0:15:32
12,13,10,12,13,13,15,11,11,11,13,11,11,14,12,8,14,10,9,12,17,14,15,11,11,11,13,12,14,11
61,57,37,36,30,174,78,33,47,23,62,77,19,48,101,22,107,50,54,34,1,149,7,36,52,81,43,26,54,36
0:00:01,0:00:01,0:00:00,0:00:00,0:00:02,0:00:03,0:00:01,0:00:00,0:00:00,0:00:00,0:00:01,0:00:01,0:00:01,0:00:01,0:00:01,0:00:00,0:00:03,0:00:02,0:00:01,0:00:00,0:00:01,0:00:03,0:00:00,0:00:01,0:00:01,0:00:01,0:00:01,0:00:01,0:00:01,0:00:00
7,9,10,9,12,9,8,8,8,8,6,8,10,11,7,9,10,6,9,11,8,12,7,10,8,11,7,10,8,10
10,11,23,8,4,8,16,9,8,22,17,8,9,24,6,8,26,8,5,14,20,2,28,100,4,1,9,3,11,8
0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:01,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00
6,5,6,5,5,5,6,3,4,5,3,5,5,4,5,5,3,5,5,6,5,4,6,5,6,4,4,4,5,4
0,3,0,0,0,1,0,5,3,0,3,4,1,3,2,0,6,1,0,0,1,3,0,1,0,6,5,3,2,1
0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00
