90,90,90,90,90,90,90,90,90,90
180,180,180,180,180,180,180,180,180,180
0,0,0,0,0,0,0,0,0,0
81,81,81,81,81,81,81,81,81,81
196,180,234,168,174,179,190,226,180,176
29,12,53,7,6,12,28,41,14,7
72,72,72,72,72,72,72,72,72,72
173,193,235,230,249,186,225,205,209,179
22,20,69,32,75,25,41,32,26,15
63,63,63,63,63,63,63,63,63,63
243,238,199,246,198,262,201,182,301,214
91,63,68,81,30,105,55,37,143,63
54,54,54,54,54,54,54,54,54,54
214,243,194,309,250,245,427,330,227,323
85,79,48,153,91,93,242,136,75,185
45,45,45,45,45,45,45,45,45,45
338,285,331,245,405,318,219,223,370,389
138,140,144,102,286,175,61,118,227,223
36,36,36,36,36,36,36,36,36,36
262,321,203,249,359,257,206,283,319,233
150,185,98,140,217,119,107,132,174,135
27,27,27,27,27,27,27,27,27,27
272,260,309,298,195,250,208,265,172,356
179,153,205,166,88,143,121,184,90,224
18,18,18,18,18,18,18,18,18,18
130,151,120,63,74,179,113,101,135,85
76,101,62,27,42,117,59,45,86,41
9,9,9,9,9,9,9,9,9,9
23,31,49,39,19,42,32,17,41,48
12,12,31,20,5,21,25,3,25,27
