100,100,100,100,100,100,100,100,100,100
150,150,150,150,150,150,150,150,150,150
0,0,0,0,0,0,0,0,0,0
90,90,90,90,90,90,90,90,90,90
150,141,150,138,167,142,153,165,146,133
10,1,17,3,16,3,7,26,8,2
80,80,80,80,80,80,80,80,80,80
134,175,139,128,154,170,162,144,148,154
9,37,24,6,19,42,31,17,15,33
70,70,70,70,70,70,70,70,70,70
158,167,171,136,139,181,149,217,147,184
34,49,43,29,27,66,33,79,41,50
60,60,60,60,60,60,60,60,60,60
208,185,170,196,141,176,210,166,134,230
103,57,54,80,35,70,77,58,32,90
50,50,50,50,50,50,50,50,50,50
274,101,210,198,139,205,214,173,158,155
156,26,93,58,42,103,95,68,65,89
40,40,40,40,40,40,40,40,40,40
149,140,151,180,93,164,135,160,215,161
59,70,70,106,24,53,59,86,125,75
30,30,30,30,30,30,30,30,30,30
169,146,216,92,72,97,227,162,116,156
122,74,113,44,26,58,116,79,57,66
20,20,20,20,20,20,20,20,20,20
74,65,69,104,92,94,70,95,86,47
39,41,36,56,52,63,36,52,41,17
10,10,10,10,10,10,10,10,10,10
17,33,31,28,15,38,17,39,21,23
15,21,21,17,9,18,13,28,6,17
