100,100,100,100,100,100,100,100,100,100
200,200,200,200,200,200,200,200,200,200
0,0,0,0,0,0,0,0,0,0
90,90,90,90,90,90,90,90,90,90
207,221,203,188,208,223,226,210,215,221
25,32,7,7,13,27,19,28,18,20
80,80,80,80,80,80,80,80,80,80
218,405,265,238,242,215,214,241,218,298
32,182,68,66,37,37,40,53,21,67
70,70,70,70,70,70,70,70,70,70
257,255,390,261,320,229,327,247,321,322
76,102,220,73,156,65,125,71,117,148
60,60,60,60,60,60,60,60,60,60
415,257,276,240,201,416,301,304,354,350
239,87,86,108,52,228,134,135,193,152
50,50,50,50,50,50,50,50,50,50
281,315,483,260,353,334,328,275,374,485
130,142,286,120,216,185,176,108,191,306
40,40,40,40,40,40,40,40,40,40
331,331,286,222,478,267,241,350,404,460
171,196,147,100,272,147,121,193,237,305
30,30,30,30,30,30,30,30,30,30
323,226,194,352,219,179,178,296,222,256
183,127,99,211,149,100,96,200,121,144
20,20,20,20,20,20,20,20,20,20
131,163,173,197,104,117,163,139,190,193
73,100,109,118,53,50,82,81,127,97
10,10,10,10,10,10,10,10,10,10
39,51,56,63,35,32,58,42,53,31
27,36,34,31,16,15,45,19,36,15
