70,70,70,70,70,70,70,70,70,70
105,105,105,105,105,105,105,105,105,105
0,0,0,0,0,0,0,0,0,0
63,63,63,63,63,63,63,63,63,63
106,117,105,104,104,100,98,105,108,104
5,19,7,6,11,3,4,10,7,7
56,56,56,56,56,56,56,56,56,56
117,106,99,98,96,95,103,117,91,101
29,18,13,13,10,8,25,21,8,17
49,49,49,49,49,49,49,49,49,49
101,145,93,101,113,116,111,121,127,110
27,52,14,32,33,37,21,34,52,28
42,42,42,42,42,42,42,42,42,42
121,114,85,135,118,96,83,113,83,97
31,41,11,50,50,30,14,40,17,27
35,35,35,35,35,35,35,35,35,35
112,71,88,104,92,83,97,127,112,149
52,10,30,42,30,23,31,67,43,90
28,28,28,28,28,28,28,28,28,28
85,113,84,82,67,89,78,101,87,137
36,64,38,32,22,28,38,61,47,83
21,21,21,21,21,21,21,21,21,21
52,93,98,38,62,109,78,87,80,101
21,39,52,11,29,66,42,45,48,61
14,14,14,14,14,14,14,14,14,14
66,53,51,33,78,53,27,45,25,61
39,28,26,17,66,33,10,26,10,33
7,7,7,7,7,7,7,7,7,7
17,18,16,19,18,7,36,22,14,8
13,15,10,15,15,5,21,7,10,2
