1,1,1,1,1,1,1,1,1,1
39,39,39,39,39,39,39,39,39,39
0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00
5,4,4,6,3,3,5,3,3,4
56,55,50,57,48,48,56,49,50,50
0:00:01,0:00:01,0:00:01,0:00:01,0:00:01,0:00:01,0:00:01,0:00:01,0:00:01,0:00:01
10,5,12,11,9,7,9,11,5,5
124,72,223,151,187,90,115,112,69,68
0:00:02,0:00:01,0:00:06,0:00:03,0:00:04,0:00:01,0:00:02,0:00:02,0:00:01,0:00:01
11,17,8,16,12,9,19,17,15,14
344,1374,103,625,313,117,1958,1799,654,582
0:00:08,0:00:44,0:00:02,0:00:18,0:00:07,0:00:02,0:01:11,0:01:02,0:00:21,0:00:21
27,27,29,30,23,22,26,25,25,19
41156,716162,34782,208978,127301,10979,46349,7864,140921,4803
0:35:04,9:18:09,0:25:58,3:37:18,1:50:46,0:07:31,0:38:55,0:06:04,1:39:55,0:03:04
