1,1,1,1,1,1,1,1,1,1
29,29,29,29,29,29,29,29,29,29
0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00
4,3,3,4,3,6,3,2,2,5
34,33,37,35,32,39,33,33,33,33
0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00
7,6,5,9,6,6,5,4,8,4
47,46,46,51,48,47,43,42,50,43
0:00:01,0:00:01,0:00:01,0:00:01,0:00:01,0:00:01,0:00:01,0:00:01,0:00:01,0:00:01
14,8,14,6,13,17,14,17,12,5
195,58,68,61,72,248,219,106,95,56
0:00:06,0:00:01,0:00:01,0:00:01,0:00:01,0:00:06,0:00:05,0:00:02,0:00:02,0:00:01
18,13,22,17,25,20,19,23,19,21
316,99,403,487,412,669,136,516,133,230
0:00:09,0:00:02,0:00:15,0:00:17,0:00:15,0:00:28,0:00:04,0:00:21,0:00:03,0:00:07
27,26,26,25,24,28,26,23,26,22
1673,14004,11094,1813,6898,2329,3901,7621,2759,1599
0:01:04,0:10:07,0:10:40,0:01:17,0:04:17,0:01:31,0:02:34,0:06:25,0:01:41,0:00:51
28,27,25,27,27,29,28,27,27,27
59123,47477,58510,40208,78504,55992,11657,20259,102816,71833
0:39:58,0:33:07,0:54:39,0:30:02,0:52:28,0:41:13,0:07:16,0:12:11,1:07:04,1:03:53
