1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89
0:00:06,0:00:06,0:00:06,0:00:06,0:00:07,0:00:06,0:00:07,0:00:06,0:00:06,0:00:06,0:00:07,0:00:06,0:00:07,0:00:06,0:00:06,0:00:06,0:00:07,0:00:06,0:00:07,0:00:07,0:00:07,0:00:06,0:00:07,0:00:07,0:00:07,0:00:07,0:00:07,0:00:07,0:00:07,0:00:06
6,5,3,3,3,3,4,5,4,6,6,5,3,5,4,5,3,3,3,4,10,7,5,4,4,3,7,6,3,2
97,111,86,81,85,85,103,88,91,109,100,90,84,99,86,100,90,86,86,89,101,94,83,89,83,88,84,100,87,83
0:00:06,0:00:07,0:00:05,0:00:05,0:00:05,0:00:05,0:00:07,0:00:05,0:00:06,0:00:07,0:00:07,0:00:06,0:00:05,0:00:06,0:00:06,0:00:06,0:00:05,0:00:05,0:00:05,0:00:05,0:00:07,0:00:07,0:00:05,0:00:06,0:00:05,0:00:05,0:00:05,0:00:07,0:00:05,0:00:05
7,9,5,13,7,5,6,9,4,15,7,3,9,4,6,6,9,14,8,11,14,3,5,14,6,6,15,7,10,4
86,96,91,354,93,91,90,174,88,97,105,76,128,81,84,83,212,138,90,137,191,78,88,763,97,118,287,104,113,89
0:00:04,0:00:06,0:00:05,0:00:32,0:00:05,0:00:04,0:00:05,0:00:10,0:00:05,0:00:05,0:00:06,0:00:04,0:00:09,0:00:04,0:00:04,0:00:05,0:00:19,0:00:10,0:00:05,0:00:10,0:00:12,0:00:04,0:00:04,0:01:34,0:00:05,0:00:07,0:00:25,0:00:06,0:00:07,0:00:05
23,11,22,8,4,12,12,12,8,7,11,14,17,17,14,18,9,12,5,10,14,10,11,5,4,21,13,12,7,8
3894,108,9583,74,69,472,148,408,113,95,101,272,617,325,107,769,131,185,99,80,216,142,369,83,68,4703,189,77,90,86
0:05:36,0:00:05,0:16:47,0:00:03,0:00:03,0:00:22,0:00:07,0:00:32,0:00:05,0:00:04,0:00:05,0:00:19,0:00:44,0:00:33,0:00:05,0:01:10,0:00:08,0:00:13,0:00:04,0:00:04,0:00:19,0:00:11,0:00:27,0:00:03,0:00:02,0:07:55,0:00:11,0:00:03,0:00:04,0:00:03
10,15,22,20,21,19,22,22,4,18,11,13,9,23,16,16,18,19,20,6,23,21,14,15,17,12,13,13,10,17
84,72,447,622,176,1351,1714,21731,69,1929,160,426,133,6826,352,442,653,930,868,69,14302,1937,126,260,940,91,241,95,71,511
0:00:03,0:00:03,0:00:32,0:00:33,0:00:10,0:01:25,0:01:22,0:30:06,0:00:02,0:02:16,0:00:09,0:00:22,0:00:06,0:10:55,0:00:25,0:00:26,0:00:55,0:01:16,0:01:15,0:00:02,0:22:14,0:02:50,0:00:06,0:00:14,0:00:57,0:00:04,0:00:14,0:00:04,0:00:02,0:00:39
10,20,20,19,18,18,20,18,16,24,25,19,21,20,17,16,18,12,9,24,16,14,17,25,19,18,15,19,5,17
61,212,328,129,1657,263,1380,2430,1156,43484,34301,638,2811,2781,458,731,103,201,168,8775,139,455,199,5513,1596,2979,184,4328,60,1194
0:00:02,0:00:09,0:00:10,0:00:05,0:01:16,0:00:10,0:01:09,0:02:21,0:00:52,0:52:39,0:42:20,0:00:35,0:03:40,0:03:36,0:00:17,0:01:00,0:00:04,0:00:14,0:00:07,0:13:01,0:00:05,0:00:26,0:00:12,0:08:19,0:02:02,0:03:08,0:00:09,0:06:15,0:00:01,0:01:24
17,18,18,20,20,16,12,19,18,18,20,18,15,20,19,18,16,19,19,22,22,16,23,20,16,19,13,14,18,15
1511,565,265,2079,981,1272,550,2835,2620,1275,771,225,961,393,445,204,696,698,336,15909,4721,1128,11067,3309,114,2802,465,603,1371,117
0:00:44,0:00:17,0:00:08,0:01:10,0:00:41,0:00:44,0:00:14,0:01:48,0:01:27,0:00:45,0:00:43,0:00:07,0:00:41,0:00:21,0:00:16,0:00:07,0:00:34,0:00:36,0:00:13,0:15:04,0:05:21,0:00:53,0:12:15,0:02:45,0:00:06,0:02:19,0:00:15,0:00:26,0:00:55,0:00:03
13,13,12,20,12,16,17,16,14,19,19,12,16,17,15,12,16,16,12,15,20,18,18,15,10,19,16,13,12,17
130,37,209,1363,276,475,235,290,180,893,608,265,644,3208,416,129,828,412,112,1011,1453,673,1993,1235,38,1978,628,85,120,778
0:00:02,0:00:00,0:00:04,0:00:48,0:00:05,0:00:12,0:00:07,0:00:04,0:00:03,0:02:10,0:00:19,0:00:06,0:00:24,0:01:52,0:00:10,0:00:02,0:00:27,0:00:11,0:00:03,0:00:28,0:05:43,0:00:27,0:01:16,0:00:40,0:00:01,0:01:21,0:00:30,0:00:02,0:00:03,0:00:27
14,10,13,15,14,13,11,8,10,15,12,13,12,9,15,10,10,12,9,11,13,12,12,13,9,14,12,14,12,12
83,26,259,133,83,474,194,50,44,305,105,291,56,33,22,69,33,21,29,45,40,286,50,122,82,158,284,950,244,157
