50,50,50,50,50,50,50,50,50,50
150,150,150,150,150,150,150,150,150,150
150,150,150,150,150,150,150,150,150,150
0,0,0,0,0,0,0,0,0,0
49,49,49,49,49,49,49,49,49,49
0:00:02,0:00:01,0:00:01,0:00:02,0:00:01,0:00:01,0:00:01,0:00:01,0:00:01,0:00:01
1,1,1,1,1,1,1,1,1,1
50,50,50,50,50,50,50,50,50,50
272,272,272,272,272,272,272,272,272,272
150,150,150,150,150,150,150,150,150,150
122,122,122,122,122,122,122,122,122,122
303,269,846,156,407,115,49,404,51,361
0:00:38,0:01:40,0:06:00,0:01:03,0:01:33,0:00:09,0:00:07,0:00:23,0:00:09,0:03:01
50,50,50,50,50,49,50,50,49,50
50,50,50,50,50,50,50,50,50,50
395,395,395,395,395,395,395,395,395,395
150,150,150,150,150,150,150,150,150,150
245,245,245,245,245,245,245,245,245,245
58,157,21,110,77,417,481,24,44,61
0:00:18,0:00:40,0:00:08,0:00:31,0:00:19,0:00:27,0:01:17,0:00:21,0:00:08,0:00:16
50,50,50,50,50,50,50,50,50,50
50,50,50,50,50,50,50,50,50,50
517,517,517,517,517,517,517,517,517,517
150,150,150,150,150,150,150,150,150,150
367,367,367,367,367,367,367,367,367,367
16,24,28,168,32,88,142,73,17,410
0:00:27,0:00:28,0:01:13,0:04:05,0:00:27,0:00:34,0:00:26,0:00:28,0:00:31,0:01:17
50,50,50,50,50,50,50,50,50,50
50,50,50,50,50,50,50,50,50,50
640,640,640,640,640,640,640,640,640,640
150,150,150,150,150,150,150,150,150,150
490,490,490,490,490,490,490,490,490,490
377,34,52,66,275,116,47,16,43,30
0:00:49,0:00:53,0:00:36,0:00:34,0:00:42,0:00:49,0:00:37,0:00:31,0:07:54,0:00:27
50,50,50,50,50,50,50,50,50,50
50,50,50,50,50,50,50,50,50,50
762,762,762,762,762,762,762,762,762,762
150,150,150,150,150,150,150,150,150,150
612,612,612,612,612,612,612,612,612,612
6,49,10,26,61,22,7,4,6,24
0:00:58,0:01:05,0:01:20,0:01:11,0:01:15,0:01:23,0:01:17,0:01:05,0:00:48,0:00:38
50,50,50,50,50,50,50,50,50,50
50,50,50,50,50,50,50,50,50,50
885,885,885,885,885,885,885,885,885,885
150,150,150,150,150,150,150,150,150,150
735,735,735,735,735,735,735,735,735,735
6,13,124,5,38,7,14,4,1,7
0:01:14,0:01:16,0:01:44,0:01:40,0:01:02,0:00:52,0:04:50,0:01:18,0:01:18,0:01:37
50,50,50,50,50,50,50,50,50,50
50,50,50,50,50,50,50,50,50,50
1007,1007,1007,1007,1007,1007,1007,1007,1007,1007
150,150,150,150,150,150,150,150,150,150
857,857,857,857,857,857,857,857,857,857
2,4,0,7,3,22,41,8,23,11
0:02:07,0:02:57,0:01:24,0:05:24,0:01:48,0:01:52,0:01:00,0:01:33,0:01:21,0:01:50
50,50,50,50,50,50,50,50,50,50
50,50,50,50,50,50,50,50,50,50
1130,1130,1130,1130,1130,1130,1130,1130,1130,1130
150,150,150,150,150,150,150,150,150,150
980,980,980,980,980,980,980,980,980,980
6,1,2,3,9,2,6,5,16,13
0:02:49,0:03:29,0:02:58,0:01:57,0:00:34,0:02:50,0:02:13,0:02:29,0:01:44,0:03:52
50,50,50,50,50,50,50,50,50,50
-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-
